일,미디어소스,캠페인,그룹,소재,클릭,회원가입,구매,구매매출
2025-01-01,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,VID_플러스멤버십_겨울_A_v1,1414,102,33,1955228
2025-01-01,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_플러스멤버십_겨울_B_v1,1384,125,37,1872214
2025-01-01,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,CRS_플러스멤버십_겨울_v1,2157,167,68,3562626
2025-01-01,googleadwords_int,GGL_CMP_01_플러스가입,논타겟,IMG_적립혜택_겨울_v2,2439,319,82,4729646
2025-01-01,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,VID_플러스멤버십_겨울_A_v1,1332,119,25,1244673
2025-01-01,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_플러스멤버십_겨울_B_v1,1255,182,44,3012070
2025-01-01,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,CRS_플러스멤버십_겨울_v1,2332,243,83,5629761
2025-01-01,googleadwords_int,GGL_CMP_01_플러스가입,유사타겟,IMG_적립혜택_겨울_v2,1916,164,44,2541349
2025-01-01,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,VID_할인쿠폰_겨울_A_v1,1256,138,50,2629265
2025-01-01,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,IMG_할인쿠폰_겨울_B_v1,1165,99,35,1963467
2025-01-01,googleadwords_int,GGL_CMP_02_리타겟팅,리마케팅,CRS_특가_겨울_v1,998,101,38,2779030
2025-01-01,googleadwords_int,GGL_CMP_03_첫구매,논타겟,VID_적립혜택_겨울_A_v1,1606,110,51,3541012
2025-01-01,googleadwords_int,GGL_CMP_03_첫구매,논타겟,IMG_적립혜택_겨울_B_v1,1735,168,43,2603686
2025-01-01,googleadwords_int,GGL_CMP_03_첫구매,논타겟,CRS_할인쿠폰_겨울_v1,958,110,31,1743965
2025-01-01,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,VID_적립혜택_겨울_A_v1,1603,164,51,3056453
2025-01-01,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,IMG_적립혜택_겨울_B_v1,2171,182,48,2791439
2025-01-01,googleadwords_int,GGL_CMP_03_첫구매,유사타겟,CRS_할인쿠폰_겨울_v1,1212,129,52,2721286
2025-01-01,Facebook Ads,META_CMP_01_신규유저,논타겟,VID_플러스멤버십_겨울_A_v1,964,72,18,801478
2025-01-01,Facebook Ads,META_CMP_01_신규유저,논타겟,IMG_적립혜택_겨울_B_v1,1027,42,7,396012
2025-01-01,Facebook Ads,META_CMP_01_신규유저,논타겟,CRS_플러스멤버십_겨울_v1,646,43,11,653353
2025-01-01,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,VID_플러스멤버십_겨울_A_v1,1371,66,17,928016
2025-01-01,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,IMG_할인쿠폰_겨울_B_v1,876,59,14,1023332
2025-01-01,Facebook Ads,META_CMP_02_룩얼라이크,유사타겟,CRS_특가_겨울_v1,1160,99,14,966381
2025-01-01,Facebook Ads,META_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,215,9,4,245619
2025-01-01,Facebook Ads,META_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,324,19,8,609361
2025-01-01,Facebook Ads,META_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,324,14,8,958803
2025-01-01,Facebook Ads,META_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,860,37,19,1340505
2025-01-01,Facebook Ads,META_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,555,36,12,829948
2025-01-01,Facebook Ads,META_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,547,19,10,851501
2025-01-01,naver_search,NVR_CMP_01_브랜드KW,논타겟,TXT_플러스멤버십_겨울_A_v1,1122,178,105,10098137
2025-01-01,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_할인쿠폰_겨울_A_v1,1449,238,68,3858860
2025-01-01,naver_search,NVR_CMP_02_일반KW,논타겟,TXT_플러스멤버십_겨울_B_v1,1179,129,49,4863372
2025-01-01,naver_search,NVR_CMP_03_재구매,VIP,IMG_배송혜택_겨울_A_v1,551,65,30,3290889
2025-01-01,naver_search,NVR_CMP_03_재구매,VIP,VID_적립혜택_겨울_B_v1,353,25,18,2007952
2025-01-01,naver_search,NVR_CMP_03_재구매,VIP,CRS_신상품_겨울_v1,378,22,14,1547692
2025-01-01,naver_search,NVR_CMP_03_재구매,윈백,IMG_배송혜택_겨울_A_v1,844,47,39,3506770
2025-01-01,naver_search,NVR_CMP_03_재구매,윈백,VID_적립혜택_겨울_B_v1,586,54,27,3541376
2025-01-01,naver_search,NVR_CMP_03_재구매,윈백,CRS_신상품_겨울_v1,712,61,38,3319602
